Recommended taxon name,Recommended taxon version,Reporting category,Designation,Designation abbreviation
Glossobalanus sarniensis,NHMSYS0021054473,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Actinotaenium adelochondrum,NHMSYS0000599827,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium clevei,NHMSYS0000599829,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium colpopelta,NHMSYS0000599831,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium cucurbitinum,NHMSYS0000599835,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium curtum,NHMSYS0000599836,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium gelidum,NHMSYS0000599838,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium perminutum,NHMSYS0000599847,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium rufescens,NHMSYS0000599849,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium silvae-nigrae,NHMSYS0000599850,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Actinotaenium turgidum,NHMSYS0000599856,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Aglaothamnion diaphanum,NHMSYS0021059745,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Aglaothamnion priceanum,NHMSYS0021059750,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Ahnfeltiopsis devoniensis,NHMSYS0021060181,Biodiversity Lists - Northern Ireland,Priority Species (Northern Ireland),NI_Priority
Anotrichium barbatum,NHMSYS0021060021,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Anotrichium barbatum,NHMSYS0021060021,Biodiversity Lists - England,England NERC S.41,England_NERC_S.41
Anotrichium barbatum,NHMSYS0021060021,Biodiversity Lists - Wales,Env (Wales) Act S7,Env (Wales) Act S7
Anotrichium barbatum,NHMSYS0021060021,Biodiversity Action Plan UK list of priority species,Priority Species,BAP-2007
Batrachospermum gelatinosum forma spermatoinvolucrum,NHMSYS0000600173,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Bornetia secundiflora,NHMSYS0021059779,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Cladophora battersii,NHMSYS0021059212,Rare and scarce species (not based on IUCN criteria),Nationally rare marine species,Marine-NR
Closterium anguineum,NHMSYS0000600885,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium archerianum,NHMSYS0000600890,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium calosporum,NHMSYS0000600898,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium didymotocum,NHMSYS0000600921,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium limneticum,NHMSYS0000600963,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium lineatum,NHMSYS0000600966,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium navicula,NHMSYS0000600979,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium nematodes,NHMSYS0020703521,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium pritchardianum,NHMSYS0000600999,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium pygmaeum,NHMSYS0000524443,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium subscoticum,NHMSYS0000601028,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Closterium toxon,NHMSYS0000601031,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Codium adhaerens,NHMSYS0021059174,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Codium bursa,NHMSYS0021059175,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Coelastropsis costata,NHMSYS0000601081,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium alpestre,NHMSYS0000601200,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium binum,NHMSYS0000601224,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium bioculatum,NHMSYS0000601225,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
Cosmarium carinthiacum,NHMSYS0000601260,Biodiversity Lists - Scotland,Scottish Biodiversity List,Scottish_Biodiversity_List
